Fertilizante;Área total (ha);Dose mínima (kg/ha);Dose máxima (kg/ha);Dose média (kg/ha);Volume total (kg);Volume total (t)
00-21-00 (MAP);257,76;355,0;540,0;449,2;115781,0;115,78
KCl;257,76;110,0;200,0;154,8;39903,0;39,9
